matchId,homeOrAway,opponents,date,location,homeScore,awayScore
31909575,away,Nynäshamn,Sat 21.Sep 15:15,Viahallen,45,65
31909582,home,Konyaspor,Sun 29.Sep 15:30,Rödabergshallen,68,67
31909587,away,Täby Bullcats,Sat 5.Oct 16:00,Byängshallen,51,53
31909593,home,Hephata,Sun 13.Oct 15:30,Konradsbergshallen,53,51
31909603,away,Alvik Västerled,Sun 20.Oct 18:00,S:t Erikshallen,59,55
31909605,away,Duvbo,Sat 26.Oct 15:00,Rissne Sph (Grönkullaskolan),79,65
31960888,home,Uppsala Basket,Sun 3.Nov 15:15,Konradsbergshallen,64,57
31909571,home,Odysseas,Sun 10.Nov 17:15,Konradsbergshallen,43,60
31909619,home,Kungsholmen NY,Sun 17.Nov 17:15,Konradsbergshallen,57,55
31909624,away,Viby Herr 4,Sun 24.Nov 17:15,Edsbergshallen,64,62
31909631,home,Central Stars,Sun 1.Dec 17:15,Konradsbergshallen,39,67
31909638,home,Duvbo,Sun 15.Dec 14:30,Thorildshallen,74,84
31909647,away,Duga,Sun 12.Jan 13:45,Enskedehallen L,78,54
31909654,away,Odysseas,Sun 19.Jan 15:30,Gärdeshallen,69,57
31909661,home,Nynäshamn,Sun 26.Jan 17:15,Konradsbergshallen,64,69
31909662,away,Konyaspor,Sat 1.Feb 13:00,Albyhallen,125,57
31909672,home,Täby Bullcats,Sun 9.Feb 16:15,Thorildshallen,49,82
31909678,away,Hephata,Sun 16.Feb 15:30,Enskedehallen L,56,72
31909682,home,Alvik Västerled,Sun 23.Feb 14:00,Thorildshallen,59,68
31909699,away,Kungsholmen NY,Sun 16.Mar 17:15,Konradsbergshallen,83,60
31909705,home,Viby Herr 4,Sun 23.Mar 17:15,Konradsbergshallen,89,50
31909709,away,Central Stars,Sun 30.Mar 17:15,Gärdeshallen,73,47
31909715,home,Tyresö,Sun 13.Apr 12:45,Thorildshallen,84,61
31909723,home,Duga,Sun 27.Apr 15:30,Konradsbergshallen,67,80
31909633,away,Tyresö,Sun 4.May 18:00,Forellhallen,60,68
31967760,away,Uppsala Basket,Sun 11.May 16:00,Fyrisskolan,58,59
